timestamp,volume,low,deltaOpen,deltaClose,deltaHigh,utcTimestampInMinutes,open,close,high,SMA_14,EMA_14,RSI_14,BB_upper,BB_lower
2024-04-09 21:00:00,102404,107287,1270,134,1378,28544940,108557,107421,108665,108115.35714285714,108218.08941982342,35.757575757575765,109280.0932678938,107372.60673210621
2024-04-10 21:00:00,110998,106993,428,265,571,28546380,107421,107258,107564,108056.21428571429,108090.07749718029,39.04182106934886,109281.55436078222,107213.44563921778
2024-04-11 21:00:00,102836,106225,1044,189,1068,28547820,107269,106414,107293,107916.5,107866.60049755624,27.45504840940525,109399.37933610943,106848.42066389056
2024-04-14 21:00:00,113398,106203,119,39,448,28552140,106322,106242,106651,107768.71428571429,107649.98709788208,26.75803190294316,109494.47141241845,106505.62858758155
2024-04-15 21:00:00,127115,106011,223,174,525,28553580,106234,106185,106536,107619.28571428571,107454.65548483114,26.62047384890478,109541.28360635294,106211.61639364705
2024-04-16 21:00:00,111245,106061,114,667,734,28555020,106175,106728,106795,107537.5,107357.76808685364,37.58942120095383,109365.76621763424,106138.03378236575
2024-04-17 21:00:00,98597,106414,307,22,486,28556460,106721,106436,106900,107433.0,107234.86567527315,35.007173601147784,109308.23092610181,105979.56907389818
2024-04-18 21:00:00,137721,106105,328,467,672,28557900,106433,106572,106777,107371.92857142857,107146.48358523674,40.58991855602025,109284.7691118593,105851.63088814069
2024-04-21 21:00:00,83520,106239,295,298,466,28562220,106534,106537,106705,107289.5,107065.21910720518,36.624942049142334,109208.5334051715,105744.5665948285
2024-04-22 21:00:00,96470,106386,132,636,727,28563660,106518,107022,107113,107194.0,107059.45655957783,33.81747760832728,109108.91582910308,105715.28417089694
2024-04-23 21:00:00,83031,106781,231,209,361,28565100,107012,106990,107142,107095.28571428571,107050.19568496745,33.349397590361434,109003.58000335179,105691.91999664821
2024-04-24 21:00:00,98322,106783,157,513,621,28566540,106940,107296,107404,107018.5,107082.96959363845,37.93490460157127,108956.19981821804,105681.60018178195
2024-04-25 21:00:00,95023,106740,533,201,788,28567980,107273,106941,107528,106900.64285714286,107064.04031448666,32.02614379084967,108892.82288604033,105649.17711395967
2024-04-28 21:00:00,112933,106890,5,307,447,28572300,106895,107197,107337,106802.78571428571,107081.76827255511,35.79427623392783,108879.92651955069,105639.07348044931
2024-04-29 21:00:00,116943,106649,532,8,705,28573740,107181,106657,107354,106748.21428571429,107025.1325028811,40.9392789373814,108836.22004150617,105579.37995849384
2024-04-30 21:00:00,112631,106494,151,642,833,28575180,106645,107136,107327,106739.5,107039.91483583029,48.654015887025594,108682.25744366931,105611.04255633068
2024-05-01 21:00:00,124796,106743,393,504,559,28576620,107136,107247,107302,106799.0,107067.52619105292,60.96341142405897,108515.45658613411,105665.34341386588
2024-05-02 21:00:00,122101,107221,1,411,909,28578060,107222,107632,108130,106898.28571428571,107142.7893655792,67.32303090727817,108373.12483634576,105733.77516365424
2024-05-05 21:00:00,139233,107553,50,147,355,28582380,107603,107700,107908,107006.5,107217.0841168353,68.82923191648024,108159.33202868816,105858.46797131182
2024-05-06 21:00:00,150139,107479,173,71,395,28583820,107652,107550,107874,107065.21428571429,107261.47290125726,61.32231404958677,107887.1123399853,106028.98766001471
2024-05-07 21:00:00,141110,107349,173,130,225,28585260,107522,107479,107574,107139.71428571429,107290.47651442298,65.29774127310063,107896.43669573368,106025.46330426632
2024-05-08 21:00:00,156257,107238,218,578,607,28586700,107456,107816,107845,107228.57142857143,107360.54631249991,67.22991689750693,107992.44318136595,105985.25681863406
2024-05-09 21:00:00,128770,107601,201,93,299,28588140,107802,107694,107900,107311.21428571429,107405.00680416658,65.64782255883148,108065.30512441164,106040.39487558838
2024-05-12 21:00:00,137032,107653,31,245,415,28592460,107684,107898,108068,107373.78571428571,107470.7392302777,62.822014051522245,108139.72009086439,106131.5799091356
2024-05-13 21:00:00,140910,107669,205,528,588,28593900,107874,108197,108257,107460.0,107567.573999574,66.38609828943797,108242.44823828948,106230.05176171052
2024-05-14 21:00:00,159446,108130,53,705,730,28595340,108183,108835,108860,107569.92857142857,107736.56413296414,69.1656288916563,108545.52138229075,106137.67861770926
2024-05-15 21:00:00,146951,108543,288,128,408,28596780,108831,108671,108951,107693.5,107861.15558190225,72.62029288702928,108716.77963063994,106189.92036936007
2024-05-16 21:00:00,134556,108356,283,344,429,28598220,108639,108700,108785,107800.85714285714,107973.00150431528,70.89241034195163,108868.27651160723,106251.22348839277
2024-05-19 21:00:00,133136,108542,116,25,303,28602540,108658,108567,108845,107937.28571428571,108052.20130373992,79.9373040752351,108950.52868450379,106371.97131549621
2024-05-20 21:00:00,138732,108427,144,112,320,28603980,108571,108539,108747,108037.5,108117.1077965746,75.61153705732019,109046.3688035694,106427.8311964306
2024-05-21 21:00:00,153539,108175,362,45,461,28605420,108537,108220,108636,108107.0,108130.82675703132,66.5083135391924,109075.25408083214,106521.94591916788
2024-05-22 21:00:00,171554,108047,161,109,563,28606860,108208,108156,108610,108144.42857142857,108134.18318942715,59.97715156130998,109104.83851146257,106578.36148853744
2024-05-23 21:00:00,141817,108055,64,406,523,28608300,108119,108461,108578,108198.78571428571,108177.7587641702,63.29025497729654,109134.75551054177,106700.44448945824
2024-05-26 21:00:00,96946,108407,2,158,267,28612620,108409,108565,108674,108271.28571428571,108229.3909289475,68.01561945331913,109186.28610624392,106785.71389375608
